From,To,Type,Through,start_x,start_y,stop_x,stop_y,adjacency_rule_name,Comment
x93B4C3,x8185F7,sea,-1,6100,482,6122,477,,Sarpath
x8185F7,xD3DE71,sea,-1,6128,471,6135,460,,Sarpath
x71c1ec,xed7baf,sea,-1,2443,2850,2455,2850,,Blumeto
xa9d4bb,xf0b29b,sea,-1,2101,2776,2087,2774,,Leptaria
xd4f25d,xf7efe8,sea,-1,2281,1752,2277,1759,,Amberwick
x6afaef,xd0ecdb,sea,-1,2926,1023,2931,1026,,Uzurkilima
xC2C1CC,xB1D0BB,sea,-1,820,1663,829,1676,,Iharkhan
xdd44d4,xef4af7,sea,-1,381,1147,389,1123,,nishiguchi
xef4af7,xce47f4,sea,-1,386,1116,351,1111,,nishiguchi
xd2b8b5,x45ecca,sea,-1,1122,1347,1131,1352,,Khangawa-Grommok
xc8f3b3,x9fc5ba,sea,-1,629,917,642,915,,Nisiguchi-Mongorokku
xF5CDE4,x9EBFFD,sea,-1,5118,1795,5125,1795,,Serbinelle
xacd6bb,xc1b6a2,sea,-1,1670,1048,1668,1037,,Takayamaan
x63d5fb,x45f2d7,sea,-1,1705,1031,1676,1027,,Takayamaan
x1ff3ee,xe3f38c,sea,-1,1316,1395,1320,1403,,Urthor
xc7e19a,x1d0734,sea,-1,766,1730,778,1728,,aratzirri
xf7d68d,xe16bce,sea,-1,603,1691,616,1707,,Mendari
xdea879,xda70e3,sea,-1,6108,3075,6123,3087,,eoghan's spear-glasliesh
xcce4d0,xd3fa93,sea,-1,270,1635,283,1616,,placeholder_empty_2 north
xddb8b5,xd3fa93,sea,-1,306,1623,290,1617,,placeholder_empty_2 northeast
xfd26f8,xd3fa93,sea,-1,289,1608,294,1593,,placeholder_empty_2 center
xfd26f8,xf2c963,sea,-1,301,1588,327,1593,,placeholder_empty_2 southeast
xf4b2a8,x59d7ce,sea,-1,4090,2508,4071,2493,,laeranel island
xf0cd44,xdf76b8,sea,-1,3789,2625,3798,2626,,alnafhid island
xf163df,xb4cd7d,sea,-1,3971,2283,3964,2290,,shadgol island
xc9fa4e,x66ade3,sea,-1,3853,2286,3870,2302,,asarshir island
xcab6a0,xa2eb79,sea,-1,2958,2167,2968,2172,,snailbane island
x2cd2fe,xa4b3a4,sea,-1,3085,2248,3102,2252,,maplelake island snailbane
xA65DF8,xf8c569,sea,-1,6226,3372,6251,3392,,forrtorp --> tanists retreat
x4cb4f9,x87b4fa,sea,-1,5933,3350,5947,3351,,balathoul --> hjeltia
xfc48bc,xfea96f,sea,-1,3414,2602,3424,2607,,sunfloro --> kaskadvivo
xb6faf3,xe6e6ef,sea,-1,2469,1228,2458,1234,,jualala --> jualala
xa766fb,xe6e6ef,sea,-1,2475,1261,2460,1248,,jualala --> jualala
xf197a9,xb59fc9,sea,-1,2422,1283,2411,1291,,swahaklong --> jualala
xfd9fd5,xf4d8ea,sea,-1,2345,1136,2356,1157,,majiwaziri --> juachai
x958ff5,xf4cd36,sea,-1,1810,1342,1821,1342,,klosi
x9badbf,xe9bd62,sea,-1,1796,1321,1798,1330,,klosi --> krusheva
xf1b7d1,x9badbf,sea,-1,1775,1355,1787,1350,,klosi --> debaria
xd7f15b,x2afdd6,sea,-1,1087,865,1101,859,,state_serger
xd5c491,x66f3f8,sea,-1,1706,1381,1690,1382,,debaria
xe2ee6e,xf838df,sea,-1,1294,1971,1284,1972,,mendiburu
xc7e19a,x9972f3,sea,-1,778,1726,765,1731,,aratziri
x9fe9ea,xd4f975,sea,-1,1958,2062,1951,2069,,gnurkenrade
x7ff2ec,xc3f080,sea,-1,1975,1848,1984,1854,,kukespia
x21dcfe,xed85a0,sea,-1,2011,1858,2005,1858,,kukespia
xdb56fc,xd57ba6,sea,-1,3697,3020,3686,3023,,esphrashad
x6ec6e6,xb5cb91,sea,-1,228,1752,239,1741,,state_placeholder_empty_1
xeca0be,x95d9d6,sea,-1,2966,818,2966,804,,nologo rull
xf98a91,xd4ac78,sea,-1,2991,842,2988,835,,nologo rull
xf5e2a1,xd4ac78,sea,-1,3003,843,3013,841,,nologo rull
x6afaef,xd0ecdb,sea,-1,2924,1024,2932,1027,,bys ceirdh
xf766aa,xf4ab72,sea,-1,2777,630,2767,634,,sushobana
x85ddc3,xa3fbab,sea,-1,4917,487,4926,498,,state_ARGYSTSIK
x85ddc3,x88bcb5,sea,-1,4918,478,4934,470,,state_ARGYSTIK
xe0d343,xd8c3fd,sea,-1,4875,527,4880,517,,state_ARGYSTIK --> state_argystsik
xc957dc,xdf72ca,sea,-1,3903,321,3901,342,,state_fianarivo
x6fa3ea,xb1bc8a,sea,-1,3427,346,3424,361,,state_anzakobe
x45f8cc,xf3efb4,sea,-1,3595,231,3610,232,,state_yntholg
xebbfb1,x99f8ee,sea,-1,5151,70,5158,68,,STATE_CHMACAJ
xa7f269,xcad5e8,sea,-1,6324,549,6343,551,,state_kurubba
x9ec2cb,xe6e98b,sea,-1,652,2133,652,2119,,state_kaskogara
xf7af85,xeb8be9,sea,-1,546,2152,539,2160,,state_khiarhi
x89f4bd,x84f68f,sea,-1,576,2039,585,2039,,state_khanor --> state_ondara
xd16dce,x57b5f3,sea,-1,1370,1287,1363,1298,,state_krakyr
xeb34e9,x7dd1bf,sea,-1,1536,1337,1555,1332,,state_albain
xb5bdeb,x94cadf,sea,-1,1488,1317,1500,1328,,state_albain
xf7ccfd,xa291e0,sea,-1,744,1516,759,1536,,state_khanzulo
xe194c2,xe9f6b8,sea,-1,698,1592,711,1575,,state_hirumendi --> state_khanzulo
xd964e1,xce9cca,sea,-1,1962,2500,1973,2487,,state_zyras
xa1ebeb,x8adeb4,sea,-1,1404,2200,1416,2214,,state_hadrumea
x51fae2,xcad1b7,sea,-1,1838,2229,1848,2224,,state_thaspia
xb05bf8,xcad1b7,sea,-1,1856,2205,1852,2221,,state_thaspia
x3de6f8,xda5dec,sea,-1,1804,2265,1806,2283,,state_thaspia
xadfedd,xbdf184,sea,-1,1509,2239,1524,2242,,state_zamara
xf0dd67,xcad1b7,sea,-1,1855,2235,1852,2224,,state_thaspia --> state_byssyra
xfb1ee1,x65f5f7,sea,-1,2796,1818,2804,1809,,state_kuchuypata
xc9b7aa,xd0a4dd,sea,-1,4757,563,4768,539,,STATE_HILOKINI
xe382da,xd0a4dd,sea,-1,4759,594,4755,572,,STATE_HILOKINI
xe382da,xe2f61d,sea,-1,4764,594,4773,590,,STATE_HILOKINI
xc5a7e8,xaae5eb,sea,-1,7138,1688,7143,1695,,state_baricora
x6fdad1,xe8c3fa,sea,-1,7154,1667,7166,1650,,state_baricora
xdffe6e,xceb4de,sea,-1,7223,1707,7229,1716,,state_baricora
xdddef5,xdef5a5,sea,-1,7431,2063,7419,2053,,state_polynkala
xcdea68,xb3a7b1,sea,-1,7438,2122,7434,2137,,state_polynkala
x9af676,xb3a7b1,sea,-1,7439,2161,7435,2150,,state_polynkala --> state_maramarova
x9af676,xb392bc,sea,-1,7434,2177,7439,2171,,state_maramarova
xc1e9f1,xb7c490,sea,-1,6301,2794,6316,2791,,state_castell_drysgolmark
xbd97d9,xf931cb,sea,-1,6134,2471,6160,2468,,state_caecarw
xf1b09e,xf2f5aa,sea,-1,1563,1442,1548,1449,,state_gulthyr --> state_xhamadhani
xeb98cb,x80fdb4,sea,-1,1601,2200,1589,2194,,state_ebyss --> state_zamara
xdb79b8,x7ed9f0,sea,-1,406,1534,381,1525,,state_onghor
xE194C2,xCDF465,sea,-1,709,1573,687,1560,,STATE_KHANZULO
xE993E6,xFC6E8D,sea,-1,676,1544,650,1521,,STATE_KHANZULO
xB1E997,xFC6E8D,sea,-1,624,1504,650,1521,,STATE_KHANZULO
xdbb1d1,xFD6BA1,sea,-1,197,1849,204,1832,,STATE_IBAIA
xD883C3,x77B5CC,sea,-1,717,1467,726,1459,,STATE_HAYAKHAMURA
xee8c97,xe5a6cd,sea,-1,1933,1469,1926,1455,,STATE_KEDERN-->state_tetovaja
xafe4f8,xb9fdeb,sea,-1,2027,2654,2013,2657,,state_oyssara-->state_cyrra
